nodeId1,portId1,nodeId2,portId2,bandwidth,delay
34,12,50,4,400Gbps,100ns
34,13,58,4,400Gbps,100ns
34,14,258,4,400Gbps,100ns
35,7,36,7,400Gbps,100ns
35,8,37,7,400Gbps,100ns
35,9,38,7,400Gbps,100ns
35,10,39,7,400Gbps,100ns
35,11,43,4,400Gbps,100ns
35,12,51,4,400Gbps,100ns
35,13,59,4,400Gbps,100ns
35,14,259,4,400Gbps,100ns
36,8,37,8,400Gbps,100ns
36,9,38,8,400Gbps,100ns
36,10,39,8,400Gbps,100ns
36,11,44,4,400Gbps,100ns
36,12,52,4,400Gbps,100ns
36,13,60,4,400Gbps,100ns
36,14,260,4,400Gbps,100ns
37,9,38,9,400Gbps,100ns
37,10,39,9,400Gbps,100ns
37,11,45,4,400Gbps,100ns
37,12,53,4,400Gbps,100ns
37,13,61,4,400Gbps,100ns
37,14,261,4,400Gbps,100ns
38,10,39,10,400Gbps,100ns
38,11,46,4,400Gbps,100ns
38,12,54,4,400Gbps,100ns
38,13,62,4,400Gbps,100ns
38,14,262,4,400Gbps,100ns
39,11,47,4,400Gbps,100ns
39,12,55,4,400Gbps,100ns
39,13,63,4,400Gbps,100ns
39,14,263,4,400Gbps,100ns
40,5,41,5,400Gbps,100ns
40,6,42,5,400Gbps,100ns
40,7,43,5,400Gbps,100ns
40,8,44,5,400Gbps,100ns
40,9,45,5,400Gbps,100ns
40,10,46,5,400Gbps,100ns
40,11,47,5,400Gbps,100ns
40,12,48,5,400Gbps,100ns
40,13,56,5,400Gbps,100ns
40,14,256,5,400Gbps,100ns
41,6,42,6,400Gbps,100ns
41,7,43,6,400Gbps,100ns
41,8,44,6,400Gbps,100ns
41,9,45,6,400Gbps,100ns
41,10,46,6,400Gbps,100ns
41,11,47,6,400Gbps,100ns
41,12,49,5,400Gbps,100ns
41,13,57,5,400Gbps,100ns
41,14,257,5,400Gbps,100ns
42,7,43,7,400Gbps,100ns
42,8,44,7,400Gbps,100ns
42,9,45,7,400Gbps,100ns
42,10,46,7,400Gbps,100ns
42,11,47,7,400Gbps,100ns
42,12,50,5,400Gbps,100ns
42,13,58,5,400Gbps,100ns
42,14,258,5,400Gbps,100ns
43,8,44,8,400Gbps,100ns
43,9,45,8,400Gbps,100ns
43,10,46,8,400Gbps,100ns
43,11,47,8,400Gbps,100ns
43,12,51,5,400Gbps,100ns
43,13,59,5,400Gbps,100ns
43,14,259,5,400Gbps,100ns
44,9,45,9,400Gbps,100ns
44,10,46,9,400Gbps,100ns
44,11,47,9,400Gbps,100ns
44,12,52,5,400Gbps,100ns
44,13,60,5,400Gbps,100ns
44,14,260,5,400Gbps,100ns
45,10,46,10,400Gbps,100ns
45,11,47,10,400Gbps,100ns
45,12,53,5,400Gbps,100ns
45,13,61,5,400Gbps,100ns
45,14,261,5,400Gbps,100ns
46,11,47,11,400Gbps,100ns
46,12,54,5,400Gbps,100ns
46,13,62,5,400Gbps,100ns
46,14,262,5,400Gbps,100ns
47,12,55,5,400Gbps,100ns
47,13,63,5,400Gbps,100ns
47,14,263,5,400Gbps,100ns
48,6,49,6,400Gbps,100ns
48,7,50,6,400Gbps,100ns
48,8,51,6,400Gbps,100ns
48,9,52,6,400Gbps,100ns
48,10,53,6,400Gbps,100ns
48,11,54,6,400Gbps,100ns
48,12,55,6,400Gbps,100ns
48,13,56,6,400Gbps,100ns
48,14,256,6,400Gbps,100ns
49,7,50,7,400Gbps,100ns
49,8,51,7,400Gbps,100ns
49,9,52,7,400Gbps,100ns
49,10,53,7,400Gbps,100ns
49,11,54,7,400Gbps,100ns
49,12,55,7,400Gbps,100ns
49,13,57,6,400Gbps,100ns
49,14,257,6,400Gbps,100ns
50,8,51,8,400Gbps,100ns
50,9,52,8,400Gbps,100ns
50,10,53,8,400Gbps,100ns
50,11,54,8,400Gbps,100ns
50,12,55,8,400Gbps,100ns
50,13,58,6,400Gbps,100ns
50,14,258,6,400Gbps,100ns
51,9,52,9,400Gbps,100ns
51,10,53,9,400Gbps,100ns
51,11,54,9,400Gbps,100ns
51,12,55,9,400Gbps,100ns
51,13,59,6,400Gbps,100ns
51,14,259,6,400Gbps,100ns
52,10,53,10,400Gbps,100ns
52,11,54,10,400Gbps,100ns
52,12,55,10,400Gbps,100ns
52,13,60,6,400Gbps,100ns
52,14,260,6,400Gbps,100ns
53,11,54,11,400Gbps,100ns
53,12,55,11,400Gbps,100ns
53,13,61,6,400Gbps,100ns
53,14,261,6,400Gbps,100ns
54,12,55,12,400Gbps,100ns
54,13,62,6,400Gbps,100ns
54,14,262,6,400Gbps,100ns
55,13,63,6,400Gbps,100ns
55,14,263,6,400Gbps,100ns
56,7,57,7,400Gbps,100ns
56,8,58,7,400Gbps,100ns
56,9,59,7,400Gbps,100ns
56,10,60,7,400Gbps,100ns
56,11,61,7,400Gbps,100ns
56,12,62,7,400Gbps,100ns
56,13,63,7,400Gbps,100ns
56,14,256,7,400Gbps,100ns
57,8,58,8,400Gbps,100ns
57,9,59,8,400Gbps,100ns
57,10,60,8,400Gbps,100ns
57,11,61,8,400Gbps,100ns
57,12,62,8,400Gbps,100ns
57,13,63,8,400Gbps,100ns
57,14,257,7,400Gbps,100ns
58,9,59,9,400Gbps,100ns
58,10,60,9,400Gbps,100ns
58,11,61,9,400Gbps,100ns
58,12,62,9,400Gbps,100ns
58,13,63,9,400Gbps,100ns
58,14,258,7,400Gbps,100ns
59,10,60,10,400Gbps,100ns
59,11,61,10,400Gbps,100ns
59,12,62,10,400Gbps,100ns
59,13,63,10,400Gbps,100ns
59,14,259,7,400Gbps,100ns
60,11,61,11,400Gbps,100ns
60,12,62,11,400Gbps,100ns
60,13,63,11,400Gbps,100ns
60,14,260,7,400Gbps,100ns
61,12,62,12,400Gbps,100ns
61,13,63,12,400Gbps,100ns
61,14,261,7,400Gbps,100ns
62,13,63,13,400Gbps,100ns
62,14,262,7,400Gbps,100ns
63,14,263,7,400Gbps,100ns
64,0,65,0,400Gbps,100ns
64,1,66,0,400Gbps,100ns
64,2,67,0,400Gbps,100ns
64,3,68,0,400Gbps,100ns
64,4,69,0,400Gbps,100ns
64,5,70,0,400Gbps,100ns
64,6,71,0,400Gbps,100ns
